"logFC.CW","ID","p.CW","logFC.CCW","p.CCW","logFC","call","Size"
-0.499583155074176,"KSSAT0038",2.82322058035337e-09,0.759372506043007,0.135722621394955,0.263073674856912,"Inactive",240
0.0610680817999666,"ORF54257",0.041786942938014,0.434392301390209,0.52881759800366,0.259772224394816,"Inactive",1656
-0.798586955686483,"KSUAT0014",1.48897250681732e-09,0.863390827810235,0.0370977085621121,0.259556500773575,"Inactive",333
0.793258929974132,"KNGAE0077",0.0500230996238195,-0.611893613280943,3.18097185984668e-10,0.255393169606884,"Inactive",187
-1.50452781421457,"ORF53911",3.18875894371862e-06,1.02469753687056,0.0770077527703795,0.255185463044364,"Inactive",1194
-0.209035068921468,"KSSAT0005",3.03227290491547e-06,0.603705598682108,0.870052183705198,0.253826167813693,"Inactive",353
0.438218075551793,"KUUUT0048",0.183533292748185,0.0374488295328064,9.04405031726757e-06,0.251705250508706,"Inactive",340
-0.0856075687330546,"ORF71393",0.0219291792835824,0.521393399242532,0.548639608956274,0.249583963914683,"Inactive",984
0.749739479832157,"KUUAT0045",0.186815180159651,-0.52534937400434,1.17965541255302e-10,0.248704837941866,"Inactive",228
-1.70169505670327,"ORF52780",8.79572568090119e-07,1.04544537270987,0.00794510390254445,0.245756143934744,"Inactive",1209
0.692847698528924,"KUUAE0023",0.543128095715778,-0.412925154078793,1.43681782243086e-08,0.243407087983302,"Inactive",243
-0.658794500627683,"ORF55536",2.24034122535895e-05,0.793506262991099,0.212678315313296,0.24287025021543,"Inactive",840
0.263793596924829,"EKSUAT0093",0.0370977085621121,0.214785245730377,0.00202060110270121,0.23949751303653,"Inactive",550
0.613139339024421,"EKSUAT0008",0.957714553476168,-0.273215092221921,2.71645500352461e-05,0.236986916655663,"Inactive",642
0.347337274100995,"KNGAT0060",0.00327271274736797,0.112640017018624,4.12087307904593e-05,0.234755953297943,"Inactive",185
0.611574362680987,"ORF7051",0.963306801222056,-0.279575058508147,0.00135762357061686,0.233740416009549,"Inactive",1335
0.733198805541721,"EKNGAT0009",0.289754256367398,-0.539426785596301,5.45418835081405e-09,0.232884822187085,"Inactive",432
0.931111758720284,"KUUAT0001",0.00717149598313845,-1.17669775532299,2.07493958798645e-11,0.232112842607397,"Inactive",279
-1.34515086724834,"KUUAE0079",4.27672796825805e-13,0.963333021919996,0.000484336184000255,0.228616847015114,"Inactive",169
-0.290808001183881,"KNGAT0062",1.84296942387391e-08,0.609150303748898,0.876362014255833,0.228236675685624,"Inactive",183
-1.08625710590209,"EKNGUT0114",2.29363201136799e-08,0.904391505717481,0.0213635898003342,0.228194733740493,"Inactive",463
-0.551053279061636,"EKNGAE0021",4.02948604874303e-07,0.729770621983937,0.330858953783047,0.227061490116706,"Inactive",459
0.546866426709528,"KUUUT0001",0.448145514308159,-0.187585978873589,4.50758759506969e-07,0.225881290661959,"Inactive",290
0.902226768692843,"EKSUAT0114",0.0416651238959818,-1.09294826919505,4.09508677016353e-09,0.225121147797848,"Inactive",536
-0.44865872449693,"KUUAT0153",7.66775139181576e-08,0.682476068686002,0.510855179405486,0.225037700134209,"Inactive",219
0.713775526377294,"KUUAE0008",0.383702220997486,-0.52212443773739,6.32127965542525e-08,0.224309698835371,"Inactive",283
0.750810043725212,"KNGUT0032",0.175824281940459,-0.614937558615247,4.31165018537235e-09,0.223852230847442,"Inactive",226
0.665364586749642,"EKSUAT0003",0.823906767318221,-0.418578078719932,1.83703618596687e-06,0.222885326305427,"Inactive",531
0.0632587878422033,"ORF55756",0.00297267565451711,0.366235446966291,0.0781627333866664,0.222685962996082,"Inactive",414
-0.182947511158651,"KNGAE0021",8.16155719480525e-09,0.532700929413579,0.467193534579372,0.218803724096919,"Inactive",179
0.564268584804353,"KNGAT0133",0.452800788979728,-0.240661141504518,2.37681411878753e-08,0.217227642514752,"Inactive",153
0.429658003543295,"KNGAT0053",0.0441230139437668,-0.03516680273027,9.36780102535474e-07,0.215885539339518,"Inactive",222
0.197047492045375,"KNGAT0025",3.89870334844415e-05,0.232038568941011,0.000174329025352633,0.214649111943066,"Inactive",178
-0.594481140544828,"KUUUT0116",1.67275827063781e-08,0.717058090112634,0.265819028630427,0.205460805758888,"Inactive",176
0.33276469198844,"KNGUT0057",0.00389680626452959,0.0625428199193757,2.3371915799294e-06,0.203971218100937,"Inactive",158
-0.0951452426460806,"ORF54668",0.0142756696767673,0.45012336068345,0.384861418220973,0.203097805719696,"Inactive",1293
0.48964770312872,"KNGAE0036",0.149177108031373,-0.155155288022026,7.28074045702018e-07,0.202974108432127,"Inactive",292
-0.368769720932292,"ORF56554",0.00046667027617127,0.611353326098292,0.948363365526803,0.202971952871857,"Inactive",1089
-0.545327172040393,"ORF52703",0.00125726068181527,0.688223334516008,0.791657846811045,0.199458133798843,"Inactive",1479
1.00655011593916,"KUUAE0089",0.000306606606923396,-1.83106141083048,1.15386347514233e-11,0.195447638739009,"Inactive",239
0.445357224885997,"KUUAT0021",0.185787089090989,-0.110681672536789,1.39499928507233e-05,0.193961936683779,"Inactive",238
0.598349369943885,"EKSUUT0073",0.799905900720964,-0.372999174779603,3.90608427246912e-09,0.192925717748264,"Inactive",461
0.708422853603646,"EKNGUT0014",0.541116454357001,-0.619240219753191,1.25167241531279e-07,0.19221344046041,"Inactive",486
0.0754221126630743,"EKUUAT0017",0.000596248155227308,0.297824479211448,0.0167098021713331,0.190904685205643,"Inactive",466
